sn	book_id	isbn_10	isbn_13	Title	isbn_13	Title	Amazon	Avg_rating	Ratings	Label
28	AjRcAwAAQBAJ	038535312X	9780385353120	"All The Truth Is Out, The Week Politics Went Tabloid"	9780385353120	All the Truth Is Out: The Week Politics Went Tabloid	http://www.amazon.com/All-Truth-Out-Politics-Tabloid-ebook/dp/B00JNQKQYC	4.3	90	YES
29	KFpUAwAAQBAJ	62365282	9780062365286	"American Woman, A Novel"	9780062365286	American Woman: A Novel	http://www.amazon.com/American-Woman-Novel-Susan-Choi-ebook/dp/B00JOGB2BC	3.7	49	YES
30	_wZ1Rf1QQ_EC	307962121	9780307962126	Americanah	9780307962126	Americanah (Ala Notable Books for Adults)	http://www.amazon.com/Americanah-Ala-Notable-Books-Adults-ebook/dp/B00A9ET4MC	4.4	0	NA
31	w4Y0CwAAQBAJ	1680030191	9781680030198	Among The Wild Mulattos And Other Tales	9781680030198	Among The Wild Mulattos and Other Tales	http://www.amazon.com/Among-Wild-Mulattos-Other-Tales-ebook/dp/B019ETFMJ6	4	1	NA
32	lrdf-34YLMsC	1250028280	9781250028280	"Amy Falls Down, A Novel"	9781250028280	Amy Falls Down: A Novel	http://www.amazon.com/Amy-Falls-Down-Jincy-Willett-ebook/dp/B009LRWUEM	4.2	99	YES
33	odaAwZOZVW4C	547524552	9780547524559	"An Unfinished Season, A Novel"	9780547524559	An Unfinished Season: A Novel	http://www.amazon.com/Unfinished-Season-Novel-Ward-Just-ebook/dp/B004VNHG36	3.8	63	YES
34	Nh2BAgAAQBAJ	802192874	9780802192875	An Unnecessary Woman	9780802192875	An Unnecessary Woman	http://www.amazon.com/Unnecessary-Woman-Rabih-Alameddine-ebook/dp/B00ET7PJL0	4	313	YES
35	7j2zvyKgeToC	1101626275	9781101626276	And The Mountains Echoed	9781101626276	And the Mountains Echoed	http://www.amazon.com/Mountains-Echoed-Khaled-Hosseini-ebook/dp/B009XIXVU6	4.2	0	NA
36	h08QBwAAQBAJ	1780745230	9781780745237	"Another Man'S War, The Story Of A Burma Boy In Britain'S Forgotten Army"	9781780745237	Another Man''s War: The Story of a Burma Boy in Britain''s Forgotten Army	http://www.amazon.com/Another-Mans-War-Britains-Forgotten-ebook/dp/B00MY8S5OY	4.3	4	NA
37	LzEr5xgwJ3sC	1466801484	9781466801486	"At Last, The Final Patrick Melrose Novel"	9781466801486	At Last: The Final Patrick Melrose Novel	http://www.amazon.com/At-Last-Final-Patrick-Melrose-ebook/dp/B005J4EWU6	4.3	79	YES
38	F8ksi5GLqisC	1101622989	9781101622988	"At Night We Walk In Circles, A Novel"	9781101622988	At Night We Walk in Circles: A Novel	http://www.amazon.com/At-Night-We-Walk-Circles-ebook/dp/B00C5R7E8W	4	58	YES
39	vS-0AAAAQBAJ	385351712	9780385351713	"Bark, Stories"	9780385351713	Bark: Stories (Vintage Contemporaries)	http://www.amazon.com/Bark-Stories-Contemporaries-Lorrie-Moore-ebook/dp/B00F1W0DWC	3.6	156	YES
42	YGxl0m6ePigC	395901340	9780395901342	"Bear And His Daughter, Stories"	9780395901342	Bear and His Daughter	http://www.amazon.com/Bear-His-Daughter-Robert-Stone/dp/0395901340	4	8	NA
43	CoQSBAAAQBAJ	061805474X	9780618054749	"Beethoven, Anguish And Triumph"	9780618054749	Beethoven: Anguish and Triumph	http://www.amazon.com/Beethoven-Anguish-Triumph-Jan-Swafford/dp/061805474X	4.4	132	YES
44	tM1zAwAAQBAJ	1627790551	9781627790550	"Being Mortal, Medicine And What Matters In The End"	9781627790550	Being Mortal: Medicine and What Matters in the End	http://www.amazon.com/Being-Mortal-Medicine-What-Matters-ebook/dp/B00JCW0BCY	4.8	0	NA
45	yQYiAwAAQBAJ	1101600276	9781101600276	Belzhar	9781101600276	Belzhar	http://www.amazon.com/Belzhar-Meg-Wolitzer-ebook/dp/B00INIQQE0	4	139	YES
46	vMXzAwAAQBAJ	698158458	9780698158450	"Bettyville, A Memoir"	9780698158450	Bettyville: A Memoir	http://www.amazon.com/Bettyville-Memoir-George-Hodgman-ebook/dp/B00LFZ83KS	4.3	580	YES
47	Nbi2PG0Hr-0C	1599908387	9781599908380	Between You & Me	9781599908380	Between You & Me	http://www.amazon.com/Between-You-Me-Marisa-Calin-ebook/dp/B007N6JDIO	3.8	14	YES
48	TV05BgAAQBAJ	679645985	9780679645986	Between The World And Me	9780679645986	Between the World and Me	http://www.amazon.com/Between-World-Me-Ta-Nehisi-Coates-ebook/dp/B00SEFAIRI	4.6	0	NA
49	Rf7F5BotqCMC	307767388	9780307767387	"Billy Bathgate, A Novel"	9780307767387	Billy Bathgate: A Novel (Random House Reader''s Circle)	http://www.amazon.com/Billy-Bathgate-Random-Readers-Circle-ebook/dp/B004CFAWC0	4.3	83	YES
50	Sbq6AQAAQBAJ	1250043670	9781250043672	"Bitter Eden, A Novel"	9781250043672	Bitter Eden: A Novel	http://www.amazon.com/Bitter-Eden-Novel-Tatamkhulu-Afrika-ebook/dp/B00EMSU2CC	4.5	22	YES
51	59oVBQAAQBAJ	1250075564	9781250075567	Black Chalk	9781250075567	Black Chalk	http://www.amazon.com/Black-Chalk-Christopher-J-Yates-ebook/dp/B00OXDVPXQ	3.4	215	NO
52	2W-nAgAAQBAJ	871407337	9780871407337	"Blood Will Out: The True Story Of A Murder, A Mystery, And A Masquerade"	9780871407337	"Blood Will Out: The True Story of a Murder, a Mystery, and a Masquerade"	http://www.amazon.com/Blood-Will-Out-Mystery-Masquerade-ebook/dp/B00DX5X7Y0	3.2	281	NO
53	P3QXdUL4CFIC	307958353	9780307958358	"Book Of Ages, The Life And Opinions Of Jane Franklin"	9780307958358	Book of Ages: The Life and Opinions of Jane Franklin	http://www.amazon.com/Book-Ages-Life-Opinions-Franklin-ebook/dp/B00C8S9VAM	4.1	282	YES
54	Lj-wBAAAQBAJ	812996925	9780812996920	"Book Of Numbers, A Novel"	9780812996920	Book of Numbers: A Novel	http://www.amazon.com/Book-Numbers-Novel-Joshua-Cohen-ebook/dp/B00O6V69RW	2.5	62	NO
55	oYypAQAAQBAJ	1101613106	9781101613108	"Boy, Snow, Bird, A Novel"	9781101613108	"Boy, Snow, Bird: A Novel"	http://www.amazon.com/Boy-Snow-Bird-Helen-Oyeyemi-ebook/dp/B00DMCUYX6	3.3	321	NO
56	vnLOUz0GsOEC	374709246	9780374709242	"Breakfast With Lucian, The Astounding Life And Outrageous Times Of Britain'S Great Modern Painter"	9780374709242	Breakfast with Lucian: The Astounding Life and Outrageous Times of Britain''s Great Modern Painter	http://www.amazon.com/Breakfast-Lucian-Astounding-Outrageous-Britains-ebook/dp/B008E6I39W	3.9	49	YES
57	xbIdBAAAQBAJ	082034687X	9780820346878	Bright Shards Of Someplace Else	9780820346878	Bright Shards of Someplace Else: Stories (Flannery O''Connor Award for Short Fiction Ser.)	http://www.amazon.com/Bright-Shards-Someplace-Else-Flannery/dp/082034687X	4.2	11	YES
58	hVDRBAAAQBAJ	1476751072	9781476751078	"Brothas Be, Yo Like George, Ain'T That Funkin' Kinda Hard On You?, A Memoir"	9781476751078	"Brothas Be, Yo Like George, Ain''t That Funkin'' Kinda Hard On You?: A Memoir"	http://www.amazon.com/Brothas-Like-George-Funkin-Kinda/dp/1476751072	4.7	117	YES
