sn	book_id	isbn_10	isbn_13	Title	isbn_13	Title	Amazon	Avg_rating	Ratings	Label
119	4blOfyc_Q0QC	307718980	9780307718983	"Five Days At Memorial, Life And Death In A Storm-Ravaged Hospital"	9780307718983	Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital	http://www.amazon.com/Five-Days-Memorial-Storm-Ravaged-Hospital-ebook/dp/B00C4BA3GO	4.3	934	YES
120	NrnaAgAAQBAJ	544309286	9780544309289	Florence Gordon	9780544309289	Florence Gordon	http://www.amazon.com/Florence-Gordon-Brian-Morton-ebook/dp/B00HK3F57S	3.9	196	YES
121	PeYjAAAAQBAJ	1616953144	9781616953140	"Foreign Gods, Inc."	9781616953140	"Foreign Gods, Inc."	http://www.amazon.com/Foreign-Gods-Inc-Okey-Ndibe-ebook/dp/B00E2RWQJU	4	54	YES
122	uYslAAAAQBAJ	547999224	9780547999227	Fosse	9780547999227	Fosse	http://www.amazon.com/Fosse-Sam-Wasson-ebook/dp/B00E78ICAQ	4.5	142	YES
123	RZAA-hS178UC	199755817	9780199755813	"Freedom Riders, 1961 And The Struggle For Racial Justice"	9780199755813	Freedom Riders: 1961 and the Struggle for Racial Justice (Pivotal Moments in American History)	http://www.amazon.com/Freedom-Riders-Struggle-Justice-American-ebook/dp/B000SEKZVC	5	20	YES
124	Jy1BAwAAQBAJ	698144791	9780698144798	"Friendswood, A Novel"	9780698144798	Friendswood: A Novel	http://www.amazon.com/Friendswood-Novel-Rene-Steinke-ebook/dp/B00INIYFPC	3.7	82	YES
126	bgc5AAAAIAAJ	521316928	9780521316927	Gabriel García Márquez: One Hundred Years Of Solitude	9780521316927	Gabriel García Márquez: One Hundred Years of Solitude (Landmarks of World Literature)	http://www.amazon.com/Gabriel-Garc%25eda-M%25e1rquez-Landmarks-Literature/dp/0521316928	3.3	4	NA
127	KWtzBgAAQBAJ	545812585	9780545812580	George	9780545812580	George	http://www.amazon.com/George-Alex-Gino-ebook/dp/B00SZIBREW	4.5	88	YES
128	wvRMBAAAQBAJ	804179719	9780804179713	"Get In Trouble, Stories"	9780804179713	Get in Trouble: Stories	http://www.amazon.com/Get-Trouble-Stories-Kelly-Link-ebook/dp/B00MSS0WQY	3.8	117	YES
129	6ffHBQAAQBAJ	544409612	9780544409613	Girl Waits With Gun	9780544409613	Girl Waits with Gun	http://www.amazon.com/Girl-Waits-Gun-Amy-Stewart-ebook/dp/B00QPHKR3M	4.2	332	YES
130	S535CAAAQBAJ	1442497351	9781442497351	Girl In Reverse	9781442497351	Girl in Reverse	http://www.amazon.com/Girl-Reverse-Barbara-Stuber/dp/1442497351	4.5	19	YES
131	CoNoBAAAQBAJ	385539614	9780385539616	"Girl In The Dark, A Memoir"	9780385539616	Girl in the Dark: A Memoir	http://www.amazon.com/Girl-Dark-Memoir-Anna-Lyndsey-ebook/dp/B00N6PCZX6	4.1	48	YES
132	TDMnBgAAQBAJ	374711496	9780374711498	"Give Us The Ballot, The Modern Struggle For Voting Rights In America"	9780374711498	Give Us the Ballot: The Modern Struggle for Voting Rights in America	http://www.amazon.com/Give-Us-Ballot-Struggle-America-ebook/dp/B00S54VUDY	4.5	38	YES
133	IBFcoVpWxv4C	60611626	9780060611620	"Godric, A Novel"	9780060611620	Godric: A Novel	http://www.amazon.com/Godric-Novel-Frederick-Buechner/dp/0060611626	4.7	47	YES
134	HYuhCfZY0qcC	1101592451	9781101592458	Going Under	9781101592458	Going Under (A Bound By Magick Novel Book 3)	http://www.amazon.com/Going-Under-Bound-Magick-Novel-ebook/dp/B00AYJHJ5G	4.5	26	YES
135	j9ysCAAAQBAJ	385352441	9780385352444	"Golden Age, A Novel"	9780385352444	Golden Age: A novel (Last Hundred Years Trilogy)	http://www.amazon.com/Golden-Age-novel-Hundred-Trilogy-ebook/dp/B00WPQ9904	3.8	122	YES
136	B4zIAgAAQBAJ	345539826	9780345539823	"Golden Son, Book Ii Of The Red Rising Trilogy"	9780345539823	"Golden Son (The Red Rising Trilogy, Book 2)"	http://www.amazon.com/Golden-Son-Rising-Trilogy-Book-ebook/dp/B00I765ZEU	4.7	0	NA
137	njNEBQAAQBAJ	307980855	9780307980854	Goodbye Stranger	9780307980854	Goodbye Stranger	http://www.amazon.com/Goodbye-Stranger-Rebecca-Stead-ebook/dp/B00PEPO9IU	4.5	68	YES
138	CcMPAgAAQBAJ	1612193145	9781612193144	"Gottland, Mostly True Stories From Half Of Czechoslovakia"	9781612193144	Gottland: Mostly True Stories from Half of Czechoslovakia	http://www.amazon.com/Gottland-Mostly-True-Stories-Czechoslovakia-ebook/dp/B00GL3HMBU	4.9	10	YES
139	CAZxAwAAQBAJ	385539169	9780385539166	"Gray Mountain, A Novel"	9780385539166	Gray Mountain: A Novel	http://www.amazon.com/Gray-Mountain-Novel-John-Grisham-ebook/dp/B00JYWUHO4	3.7	0	NA
141	RwKdBAAAQBAJ	374712573	9780374712570	"Gutshot, Stories"	9780374712570	Gutshot: Stories	http://www.amazon.com/Gutshot-Stories-Amelia-Gray-ebook/dp/B00NS3FP6K	4.1	22	YES
142	RTojBQAAQBAJ	802191673	9780802191670	H Is For Hawk	9780802191670	H Is for Hawk	http://www.amazon.com/H-Hawk-Helen-Macdonald-ebook/dp/B00OV9D9AE	3.9	905	YES
143	QAJcBAAAQBAJ	1442412755	9781442412750	Half A World Away	9781442412750	Half a World Away	http://www.amazon.com/Half-World-Away-Cynthia-Kadohata/dp/1442412755	4.7	13	YES
144	2tpfCgAAQBAJ	1555979092	9781555979096	"Half An Inch Of Water, Stories"	9781555979096	Half an Inch of Water: Stories	http://www.amazon.com/Half-Inch-Water-Percival-Everett-ebook/dp/B0140NXXJC	4.2	16	YES
145	D1tlCQAAQBAJ	1616961929	9781616961923	Hannu Rajaniemi: Collected Fiction	9781616961923	Hannu Rajaniemi: Collected Fiction	http://www.amazon.com/Hannu-Rajaniemi-Collected-Fiction/dp/1616961929	4.4	12	YES
146	uzaVCUGCLrYC	1469185504	9781469185507	"Haunted: The Strange And Profound Art Of Wright Morris, The Strange And Profound Art Of Wright Morris"	9781469185507	Haunted: The Strange And Profound Art Of Wright Morris	http://www.amazon.com/Haunted-Strange-Profound-Wright-Morris-ebook/dp/B00BASTF4I	4	1	NA
147	Od9uAwAAQBAJ	62106112	9780062106117	"Heroes Are My Weakness, A Novel"	9780062106117	Heroes Are My Weakness: A Novel	http://www.amazon.com/Heroes-Are-My-Weakness-Novel-ebook/dp/B00H7LT5II	3.9	653	YES
148	MKkTAwAAQBAJ	698162153	9780698162150	"Hijacking The Runway, How Celebrities Are Stealing The Spotlight From Fashion Designers"	9780698162150	Hijacking the Runway: How Celebrities Are Stealing the Spotlight from Fashion Designers	http://www.amazon.com/Hijacking-Runway-Celebrities-Spotlight-Designers-ebook/dp/B00INIYI3Q	4.8	25	YES
149	ALQ6ZT_27jgC	768422787	9780768422788	"Hinds' Feet On High Places, The Original And Complete Allegory With A Devotional And Journal For Women By Darien Cooper"	9780768422788	Hinds'' Feet On High Places: The Original And Complete Allegory With A Devotional For Women	http://www.amazon.com/Hinds-Feet-High-Places-Devotional/dp/0768422787	4.9	174	YES
150	rjTeAgAAQBAJ	110806860X	9781108068604	"History Of The Royal Astronomical Society, 1820–1920"	9781108068604	"History of the Royal Astronomical Society, 1820-1920 (Cambridge Library Collection - Astronomy)"	http://www.amazon.com/History-Astronomical-1820-1920-Cambridge-Collection/dp/110806860X	0	0	NA
151	JecRAQAAQBAJ	547863381	9780547863382	"Hitler'S Furies, German Women In The Nazi Killing Fields"	9780547863382	Hitler''s Furies: German Women in the Nazi Killing Fields	http://www.amazon.com/Hitlers-Furies-German-Killing-Fields/dp/0547863381	3.8	299	YES
152	d3QRBAAAQBAJ	1595589457	9781595589453	"Hold Tight Gently, Michael Callen, Essex Hemphill, And The Battlefield Of Aids"	9781595589453	"Hold Tight Gently: Michael Callen, Essex Hemphill, and the Battlefield of AIDS"	http://www.amazon.com/Hold-Tight-Gently-Hemphill-Battlefield/dp/1595589457	4.4	7	NA
153	Up8WBQAAQBAJ	465030157	9780465030156	"How We Do It, The Evolution And Future Of Human Reproduction"	9780465030156	How We Do It: The Evolution and Future of Human Reproduction	http://www.amazon.com/How-We-Do-Evolution-Reproduction/dp/0465030157	4.7	33	YES
154	JIazgpqHYs0C	1466834706	9781466834705	"How The Light Gets In, A Chief Inspector Gamache Novel"	9781466834705	How the Light Gets In: A Chief Inspector Gamache Novel (A Chief Inspector Gamache Mystery Book 9)	http://www.amazon.com/How-Light-Gets-Inspector-Gamache-ebook/dp/B00AQUTNIE	4.7	0	NA
155	fPdV1kep31QC	110160378X	9781101603789	"How To Get Filthy Rich In Rising Asia, A Novel"	9781101603789	How to Get Filthy Rich in Rising Asia: A Novel	http://www.amazon.com/How-Filthy-Rich-Rising-Asia-ebook/dp/B008ON449S	4.3	283	YES
157	m7OaBwAAQBAJ	1101599545	9781101599549	"Hunger Makes Me A Modern Girl, A Memoir"	9781101599549	Hunger Makes Me a Modern Girl: A Memoir	http://www.amazon.com/Hunger-Makes-Me-Modern-Girl-ebook/dp/B00V47818G	4.4	127	YES
158	KYmYAQAAQBAJ	1451666179	9781451666175	"Hyperbole And A Half, Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, And Other Things That Happened"	9781451666175	"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened"	http://www.amazon.com/Hyperbole-Half-Unfortunate-Situations-Mechanisms/dp/1451666179	4.7	0	NA
159	R4cI0lBk6p4C	146031316X	9781460313169	I'Ll Be Seeing You	9781460313169	I''ll Be Seeing You	http://www.amazon.com/Ill-Seeing-You-Suzanne-Hayes-ebook/dp/B00BED2UPU	4.6	198	YES
160	FkY98GejQSYC	1101593849	9781101593844	I'Ll Give You The Sun	9781101593844	I''ll Give You the Sun	http://www.amazon.com/Ill-Give-You-Jandy-Nelson-ebook/dp/B007HUD5N0	4.7	553	YES
161	BscJAwAAQBAJ	385538723	9780385538725	"I Am China, A Novel"	9780385538725	I Am China: A Novel	http://www.amazon.com/Am-China-Novel-Xiaolu-Guo-ebook/dp/B00IWTSFYY	4.3	26	YES
162	rOXbrlzgoVYC	547724772	9780547724775	I Hate To Leave This Beautiful Place	9780547724775	I Hate to Leave This Beautiful Place	http://www.amazon.com/Hate-Leave-This-Beautiful-Place-ebook/dp/B008P9894M	4.3	53	YES
163	MO0_BgAAQBAJ	1460382234	9781460382233	If You Only Knew	9781460382233	If You Only Knew	http://www.amazon.com/You-Only-Knew-Kristan-Higgins-ebook/dp/B00SFS2A98	4.6	431	YES
165	iwCdBAAAQBAJ	385352840	9780385352840	"In The Country, Stories"	9780385352840	In the Country: Stories	http://www.amazon.com/Country-Stories-Mia-Alvar-ebook/dp/B00NRQOR1W	4.5	65	YES
166	_f3GAgAAQBAJ	374711305	9780374711306	"In The Wolf'S Mouth, A Novel"	9780374711306	In the Wolf''s Mouth: A Novel	http://www.amazon.com/Wolfs-Mouth-Novel-Adam-Foulds-ebook/dp/B00GVREB38	3.7	15	YES
167	4MmdBAAAQBAJ	1616954973	9781616954970	"Innocence; Or, Murder On Steep Street"	9781616954970	"Innocence; or, Murder on Steep Street"	http://www.amazon.com/Innocence-Murder-Street-Margolius-Kovaly-ebook/dp/B00NEUI6P4	3.6	43	YES
168	wK-rCQAAQBAJ	1476746664	9781476746661	Intimacy Idiot	9781476746661	Intimacy Idiot	http://www.amazon.com/Intimacy-Idiot-Isaac-Oliver/dp/1476746664	4.4	64	YES
169	ZtqnQOkaISAC	804731276	9780804731270	"Into The Heart Of The Fire, The British In The Spanish Civil War"	9780804731270	Into the Heart of the Fire: The British in the Spanish Civil War	http://www.amazon.com/Into-Heart-Fire-British-Spanish/dp/0804731276	5	1	NA
172	fNUC1h7xwYwC	307486672	9780307486677	John Henry Days	9780307486677	John Henry Days	http://www.amazon.com/John-Henry-Days-Colson-Whitehead-ebook/dp/B002BH5HWQ	3.5	48	YES
173	6q6hiPErXsMC	826263259	9780826263254	"John Updike'S Rabbit Tetralogy, Mastered Irony In Motion"	9780826263254	John Updike''s Rabbit Tetralogy: Mastered Irony in Motion	http://www.amazon.com/John-Updikes-Rabbit-Tetralogy-Mastered/dp/0826263259	5	3	NA
174	Psk6tJq1ybQC	738717509	9780738717500	"Journey Of Souls, Case Studies Of Life Between Lives"	9780738717500	Journey of Souls: Case Studies of Life Between Lives	http://www.amazon.com/Journey-Souls-Studies-Between-Lives-ebook/dp/B001MTENOC	4.5	0	NA
175	Wadpyu1Gz90C	892367075	9780892367078	"Julia Margaret Cameron, A Critical Biography"	9780892367078	Julia Margaret Cameron: A Critical Biography	http://www.amazon.com/Julia-Margaret-Cameron-Critical-Biography/dp/0892367075	5	3	NA
176	4NPk_-mMaBsC	62314068	9780062314062	Kansas City Lightning	9780062314062	Kansas City Lightning	http://www.amazon.com/Kansas-City-Lightning-Stanley-Crouch-ebook/dp/B00DG292OO	4.1	70	YES
177	Lz8jBQAAQBAJ	1451692269	9781451692266	"Katrina, After The Flood"	9781451692266	Katrina: After the Flood	http://www.amazon.com/Katrina-After-Flood-Gary-Rivlin-ebook/dp/B00P434EH8	4.2	55	YES
178	8H3KAgAAQBAJ	545662885	9780545662888	Kinda Like Brothers	9780545662888	Kinda Like Brothers	http://www.amazon.com/Kinda-Like-Brothers-Coe-Booth-ebook/dp/B00I5T2IAS	4.4	13	YES
179	CwZVAgAAQBAJ	698168801	9780698168800	"Land Of Love And Drowning, A Novel"	9780698168800	Land of Love and Drowning: A Novel	http://www.amazon.com/Land-Love-Drowning-Tiphanie-Yanique-ebook/dp/B00GGVGITE	3.7	152	YES
180	4VITAAAAQBAJ	770437559	9780770437558	"League Of Denial, The Nfl, Concussions, And The Battle For Truth"	9780770437558	"League of Denial: The NFL, Concussions, and the Battle for Truth"	http://www.amazon.com/League-Denial-Concussions-Battle-Truth-ebook/dp/B00DXKJ6IQ	4.7	266	YES
181	u91jAwAAQBAJ	147670466X	9781476704661	"Leaving Berlin, A Novel"	9781476704661	Leaving Berlin: A Novel	http://www.amazon.com/Leaving-Berlin-Novel-Joseph-Kanon-ebook/dp/B00IWTWRW0	4	455	YES
182	oU_UszN7xbsC	080329560X	9780803295605	Leaving The Land	9780803295605	Leaving the Land	http://www.amazon.com/Leaving-Land-Douglas-Unger/dp/080329560X	4.7	7	NA
183	pnYkBQAAQBAJ	812997670	9780812997675	"Let Me Tell You, New Stories, Essays, And Other Writings"	9780812997675	"Let Me Tell You: New Stories, Essays, and Other Writings"	http://www.amazon.com/Let-Me-Tell-You-Writings-ebook/dp/B00P5557TO	4.4	75	YES
185	n6OIM-A2MbQC	1101604905	9781101604908	"Lexicon, A Novel"	9781101604908	Lexicon: A Novel	http://www.amazon.com/Lexicon-Novel-Max-Barry-ebook/dp/B00AEBETMK	4.2	538	YES
187	a3dzAwAAQBAJ	374709084	9780374709082	"Lila, A Novel"	9780374709082	Lila: A Novel	http://www.amazon.com/Lila-Novel-Marilynne-Robinson-ebook/dp/B00J6U7K62	4.1	999	YES
188	ir16p12Dd9IC	553299611	9780553299618	"Lila, An Inquiry Into Morals"	9780553299618	Lila: An Inquiry Into Morals	http://www.amazon.com/Lila-Inquiry-Robert-M-Pirsig/dp/0553299611	4.2	151	YES
189	xaNyiPvgNZMC	1616952784	9781616952785	Little Elvises	9781616952785	Little Elvises (A Junior Bender Mystery Book 2)	http://www.amazon.com/Little-Elvises-Junior-Bender-Mystery-ebook/dp/B0095607N0	4.6	100	YES
190	DokiYLzosFIC	1442950528	9781442950528	"Living In The Light, A Guide To Personal And Planetary Transformation: Easyread Super Large 24Pt Edition"	9781442950528	"Living in the Light, 25th Anniversary Edition: Follow Your Inner Guidance to Create a New Life and a New World"	http://www.amazon.com/Living-Light-25th-Anniversary-Guidance-ebook/dp/B005T624O0	4.8	45	YES
191	IZIuCf-HPMsC	385535228	9780385535229	"Love, Dishonor, Marry, Die, Cherish, Perish, A Novel"	9780385535229	"Love, Dishonor, Marry, Die, Cherish, Perish: A Novel"	http://www.amazon.com/Love-Dishonor-Marry-Cherish-Perish-ebook/dp/B00B3GMHWO	4.2	204	YES
192	Mswqxb1Z9v0C	1593763816	9781593763817	"Love In Infant Monkeys, Stories"	9781593763817	Love in Infant Monkeys: Stories	http://www.amazon.com/Love-Infant-Monkeys-Lydia-Millet-ebook/dp/B003SE6V8K	3.9	18	YES
193	9_xzAwAAQBAJ	62356968	9780062356963	"Lovely, Dark, Deep"	9780062356963	"Lovely, Dark, Deep"	http://www.amazon.com/Lovely-Dark-Joyce-Carol-Oates-ebook/dp/B00IHZY4ES	4.3	45	YES
194	LsNnAgAAQBAJ	62199137	9780062199133	"Lovers At The Chameleon Club, Paris 1932, A Novel"	9780062199133	"Lovers at the Chameleon Club, Paris 1932: A Novel (P.S. (Paperback))"	http://www.amazon.com/Lovers-Chameleon-Club-Paris-1932-ebook/dp/B00FJ32YLG	3.9	220	YES
195	8hadBAAAQBAJ	679645527	9780679645528	"Loving Day, A Novel"	9780679645528	Loving Day: A Novel	http://www.amazon.com/Loving-Day-Novel-Mat-Johnson-ebook/dp/B00NDTUCYY	3.9	96	YES
196	D28lBgAAQBAJ	1101875119	9781101875117	M Train	9781101875117	M Train	http://www.amazon.com/M-Train-Patti-Smith-ebook/dp/B00S3RILU8	4.2	270	YES
198	GAoYBQAAQBAJ	872866246	9780872866249	"Man Alive, A True Story Of Violence, Forgiveness And Becoming A Man"	9780872866249	"Man Alive: A True Story of Violence, Forgiveness and Becoming a Man (City Lights/Sister Spit)"	http://www.amazon.com/Man-Alive-Violence-Forgiveness-Becoming/dp/0872866246	4.8	38	YES
199	Z3gPqnwnAwAC	1440673365	9781440673368	"Mao Ii, A Novel"	9781440673368	Mao II: A Novel	http://www.amazon.com/Mao-II-Novel-Don-Delillo-ebook/dp/B001ROAKHG	3.7	62	YES
200	r8H2WU75KMIC	1101611073	9781101611074	"Mary Coin, A Novel"	9781101611074	Mary Coin: A Novel	http://www.amazon.com/Mary-Coin-Novel-Marisa-Silver-ebook/dp/B008EKONGA	4.4	383	YES
201	feI3TsVwT8oC	307986667	9780307986665	"Masterminds And Wingmen, Helping Our Boys Cope With Schoolyard Power, Locker-Room Tests, Girlfriends, And The New Rules Of Boy World"	9780307986665	"Masterminds and Wingmen: Helping Our Boys Cope with Schoolyard Power, Locker-Room Tests, Girlfriends, and the New Rules of Boy World"	http://www.amazon.com/Masterminds-Wingmen-Schoolyard-Locker-Room-Girlfriends-ebook/dp/B00BVJG20Q	4.5	197	YES
202	R1XCAwAAQBAJ	1408830485	9781408830482	"Men We Reaped, A Memoir"	9781408830482	Men We Reaped: A Memoir	http://www.amazon.com/Men-We-Reaped-Jesmyn-Ward-ebook/dp/B00D6D9NLK	4.3	176	YES
203	CUP0iKaYFKMC	62199129	9780062199126	"Miss Anne In Harlem, The White Women Of The Black Renaissance"	9780062199126	Miss Anne in Harlem: The White Women of the Black Renaissance	http://www.amazon.com/Miss-Anne-Harlem-White-Renaissance-ebook/dp/B00BATIK5C	4.4	72	YES
204	LetwBgAAQBAJ	393248461	9780393248463	"Mothers, Tell Your Daughters: Stories"	9780393248463	"Mothers, Tell Your Daughters: Stories"	http://www.amazon.com/Mothers-Tell-Your-Daughters-Stories-ebook/dp/B00TIZFOC2	4.1	43	YES
205	dKIqAwAAQBAJ	1476702926	9781476702926	Mrs. Poe	9781476702926	Mrs. Poe	http://www.amazon.com/Mrs-Poe-Lynn-Cullen/dp/1476702926	4.1	405	YES
206	WqH_BgAAQBAJ	1940450578	9781940450575	My Documents	9781940450575	My Documents	http://www.amazon.com/Documents-Megan-McDowell-Alejandro-Zambra-ebook/dp/B00T56GD0Q	4.8	8	NA
207	BUdABAAAQBAJ	698156021	9780698156029	My Sunshine Away	9780698156029	My Sunshine Away	http://www.amazon.com/My-Sunshine-Away-M-O-Walsh-ebook/dp/B00L9B85G0	3.9	461	YES
208	LY9dAAAAQBAJ	1612192971	9781612192970	Nazis In The Metro	9781612192970	Nazis in the Metro (Melville International Crime)	http://www.amazon.com/Nazis-Metro-Melville-International-Crime-ebook/dp/B00EGMBKJ8	2.3	3	NA
209	w_mfeCUhIK4C	547928300	9780547928302	"New And Selected Poems, 1962-2012"	9780547928302	New and Selected Poems: 1962-2012	http://www.amazon.com/New-Selected-Poems-Charles-Simic-ebook/dp/B008LQ237I	4.6	31	YES
210	AUyzBgAAQBAJ	194294800X	9781942948001	Nexus	9781942948001	Nexus (The Nexus Trilogy Book 1)	http://www.amazon.com/Nexus-Trilogy-Book-1-ebook/dp/B00TOZI7FM	0	0	NA
211	PfZtAwAAQBAJ	1439149852	9781439149850	"Nora Webster, A Novel"	9781439149850	Nora Webster: A Novel	http://www.amazon.com/Nora-Webster-Novel-Colm-Toibin-ebook/dp/B00IWTWSVK	3.7	479	YES
213	e3SWBgAAQBAJ	1612194540	9781612194547	"Not On Fire, But Burning, A Novel"	9781612194547	"Not on Fire, but Burning: A Novel"	http://www.amazon.com/Not-Fire-but-Burning-Novel-ebook/dp/B00TCI4SAE	3.7	33	YES
214	mZw9AQAAQBAJ	1590177479	9781590177471	Nothing More To Lose	9781590177471	Nothing More to Lose (NYRB/Poets)	http://www.amazon.com/Nothing-More-Lose-NYRB-Poets-ebook/dp/B00FO5W766	5	4	NA
215	XEKwBAAAQBAJ	1466861231	9781466861237	Of Noble Family	9781466861237	Of Noble Family (Glamourist Histories Book 5)	http://www.amazon.com/Noble-Family-Glamourist-Histories-Book-ebook/dp/B00O79FB4K	4.7	24	YES
216	5jvKFA27_pYC	1101632143	9781101632147	"On Such A Full Sea, A Novel"	9781101632147	On Such a Full Sea: A Novel	http://www.amazon.com/Such-Full-Sea-Novel-ebook/dp/B00C5R722A	3.6	230	YES
217	bSZyCQAAQBAJ	1476749876	9781476749877	"One Kick, A Kick Lannigan Novel"	9781476749877	One Kick: A Kick Lannigan Novel	http://www.amazon.com/One-Kick-Lannigan-Novel/dp/1476749876	4.1	408	YES
218	szqwBAAAQBAJ	374710201	9780374710200	"One Of Us, The Story Of Anders Breivik And The Massacre In Norway"	9780374710200	One of Us: The Story of Anders Breivik and the Massacre in Norway	http://www.amazon.com/One-Us-Anders-Breivik-Massacre-ebook/dp/B00O7AU8O2	4.5	127	YES
219	TccxCAAAQBAJ	1572847522	9781572847521	Only The Strong	9781572847521	Only the Strong	http://www.amazon.com/Only-Strong-Jabari-Asim-ebook/dp/B00X308QNC	4.4	7	NA
220	w_qcBAAAQBAJ	307962679	9780307962676	"Ordinary Light, A Memoir"	9780307962676	Ordinary Light: A memoir	http://www.amazon.com/Ordinary-Light-Tracy-K-Smith-ebook/dp/B00N6PBEU6	4.1	45	YES
221	FuwCBAAAQBAJ	374712360	9780374712365	"Outline, A Novel"	9780374712365	Outline: A Novel	http://www.amazon.com/Outline-Novel-Rachel-Cusk-ebook/dp/B00L744ZRW	3.3	111	NO
223	73liAgAAQBAJ	1101638265	9781101638262	"Panic In A Suitcase, A Novel"	9781101638262	Panic in a Suitcase: A Novel	http://www.amazon.com/Panic-Suitcase-Novel-Yelena-Akhtiorskaya-ebook/dp/B00G3L7XBY	3.2	76	NO
224	c6A7AgAAQBAJ	1101613270	9781101613276	"Poking A Dead Frog, Conversations With Today'S Top Comedy Writers"	9781101613276	Poking a Dead Frog: Conversations with Today''s Top Comedy Writers	http://www.amazon.com/Poking-Dead-Frog-Conversations-Writers-ebook/dp/B00GAHGHW2	4.7	87	YES
225	zWLPFpm5e1MC	813171822	9780813171821	"Raccoon John Smith, Frontier Kentucky'S Most Famous Preacher"	9780813171821	Raccoon John Smith: Frontier Kentucky''s Most Famous Preacher (Religion in the South)	http://www.amazon.com/Raccoon-John-Smith-Frontier-Kentuckys-ebook/dp/B003MZ1XUG	5	3	NA
227	hASICgAAQBAJ	082237532X	9780822375326	"Real Men Don'T Sing, Crooning In American Culture"	9780822375326	Real Men Don''t Sing: Crooning in American Culture (Refiguring American Music)	http://www.amazon.com/Real-Men-Dont-Sing-Refiguring-ebook/dp/B01569VG6G	4	1	NA
228	RTZA4iaEoKYC	571280676	9780571280674	Red Or Dead	9780571280674	Red or Dead	http://www.amazon.com/Red-Dead-David-Peace-ebook/dp/B00CR6MNKU	3	29	NO
229	2SNtAAAAQBAJ	069815164X	9780698151642	Redeployment	9780698151642	Redeployment	http://www.amazon.com/Redeployment-Phil-Klay-ebook/dp/B00DMCW14G	4.3	929	YES
231	DM_sBAAAQBAJ	1101626372	9781101626375	Secrets Of State	9781101626375	Secrets of State	http://www.amazon.com/Secrets-State-Matthew-Palmer-ebook/dp/B00OQS4EKY	4.1	40	YES
232	VJ3QYecYpjgC	807133000	9780807133002	"Selected Letters Of Robert Penn Warren, New Beginnings And New Directions, 1953--1968"	9780807133002	"Selected Letters of Robert Penn Warren: New Beginnings and New Directions, 1953--1968 (Southern Literary Studies)"	http://www.amazon.com/Selected-Letters-Robert-Penn-Warren/dp/0807133000	0	0	NA
233	0VWdBAAAQBAJ	62190415	9780062190413	"Seveneves, A Novel"	9780062190413	Seveneves: A Novel	http://www.amazon.com/Seveneves-Novel-Neal-Stephenson-ebook/dp/B00LZWV8JO	4	0	NA
234	i1qZBQAAQBAJ	545591627	9780545591621	Shadowshaper	9780545591621	Shadowshaper	http://www.amazon.com/Shadowshaper-Daniel-Jos%C3%A9-Older-ebook/dp/B00Q5LJFJA	4.5	75	YES
235	3ci5GfifKg4C	1595585834	9781595585837	"Shakespeare'S Kitchen, Stories"	9781595585837	Shakespeare''s Kitchen: Stories	http://www.amazon.com/Shakespeares-Kitchen-Stories-Lore-Segal-ebook/dp/B003UBAX0S	3.7	21	YES
236	k0VABAAAQBAJ	385353642	9780385353649	"Single, Carefree, Mellow, Stories"	9780385353649	"Single, Carefree, Mellow: Stories"	http://www.amazon.com/Single-Carefree-Mellow-Katherine-Heiny-ebook/dp/B00MKZ6L5Q	3.6	98	YES
237	R733BQAAQBAJ	62238485	9780062238481	"Sisters In Law, How Sandra Day O'Connor And Ruth Bader Ginsburg Went To The Supreme Court And Changed The World"	9780062238481	Sisters in Law: How Sandra Day O''Connor and Ruth Bader Ginsburg Went to the Supreme Court and Changed the World	http://www.amazon.com/Sisters-Law-OConnor-Ginsburg-Supreme-ebook/dp/B00RLR9RPE	4.1	118	YES
238	xkwRCgAAQBAJ	1451668112	9781451668117	"Soldier Girls, The Battles Of Three Women At Home And At War"	9781451668117	Soldier Girls: The Battles of Three Women at Home and at War	http://www.amazon.com/Soldier-Girls-Battles-Three-Women/dp/1451668112	4.2	201	YES
239	Qi_lO-3BVPoC	144062299X	9781440622991	Sometimes A Great Notion	9781440622991	Sometimes a Great Notion	http://www.amazon.com/Sometimes-Great-Notion-Ken-Kesey-ebook/dp/B002TZ3C1I	4.5	229	YES
241	2RIcAwAAQBAJ	385353316	9780385353311	"Station Eleven, A Novel"	9780385353311	Station Eleven: A novel	http://www.amazon.com/Station-Eleven-Emily-John-Mandel-ebook/dp/B00J1IQUYM	4.1	0	NA
243	59lJBgAAQBAJ	698195604	9780698195608	"Strangers Drowning, Grappling With Impossible Idealism, Drastic Choices, And The Overpowering Urge To Help"	9780698195608	"Strangers Drowning: Grappling with Impossible Idealism, Drastic Choices, and the Overpowering Urge to Help"	http://www.amazon.com/Strangers-Drowning-Grappling-Impossible-Overpowering-ebook/dp/B00SI02AWA	4.3	41	YES
244	8EYUBQAAQBAJ	1629792721	9781629792729	"Strike!, The Farm Workers' Fight For Their Rights"	9781629792729	Strike!: The Farm Workers'' Fight for Their Rights	http://www.amazon.com/Strike-Workers-Fight-Their-Rights-ebook/dp/B00OI017UK	4.7	3	NA
